"mon_first","id","firstpurchase","lastpurchase","purchases","monetary","f3m","m3m","r","lifetime","f_btts","bt","rfm_recency","rfm_frequency","rfm_monetary"
2019-12-01,703644,2019-12-02,2019-12-02,2,5125.62,2,5125.62,29,0,"2",,5,4,4
2019-12-01,2402802,2019-12-09,2019-12-09,1,5342.1,1,5342.1,22,0,"1",,4,2,4
2019-12-01,4118208,2019-12-02,2019-12-23,7,5364.9,7,5364.9,8,21,"7",,2,5,4
2019-12-01,765942,2019-12-02,2019-12-16,3,5456.4,3,5456.4,15,14,"3",,4,4,4
2019-12-01,3286530,2019-12-02,2019-12-23,4,5483.04,4,5483.04,8,21,"4",,3,5,4
2019-12-01,4525926,2019-12-09,2019-12-09,1,6052.02,1,6052.02,22,0,"1",,5,2,4
2019-12-01,3633456,2019-12-02,2019-12-09,4,6135.18,4,6135.18,22,7,"4",,4,5,4
2019-12-01,718086,2019-12-02,2019-12-16,3,6147.9,3,6147.9,15,14,"3",,4,4,4
2019-12-01,719022,2019-12-02,2019-12-23,9,6165.840000000001,9,6165.840000000001,8,21,"9",,3,5,4
2019-12-01,718962,2019-12-30,2019-12-30,1,6298.26,1,6298.26,1,0,"1",,1,3,4
2019-12-01,704370,2019-12-02,2019-12-23,2,6344.28,2,6344.28,8,21,"2",,2,3,4
2019-12-01,3198678,2019-12-02,2019-12-02,1,6410.52,1,6410.52,29,0,"1",,5,2,4
2019-12-01,766122,2019-12-02,2019-12-02,2,6638.52,2,6638.52,29,0,"2",,5,4,4
2019-12-01,2820768,2019-12-02,2019-12-16,4,6860.4,4,6860.4,15,14,"4",,3,5,4
2019-12-01,702234,2019-12-02,2019-12-23,3,6913.5599999999995,3,6913.5599999999995,8,21,"3",,3,5,4
2019-12-01,777906,2019-12-02,2019-12-23,6,7040.879999999999,6,7040.879999999999,8,21,"6",,2,5,4
2019-12-01,4210890,2019-12-02,2019-12-30,8,7125.0,8,7125.0,1,28,"8",,1,5,4
2019-12-01,713754,2019-12-02,2019-12-23,2,7297.62,2,7297.62,8,21,"2",,1,3,4
2019-12-01,720708,2019-12-09,2019-12-30,6,7414.200000000001,6,7414.200000000001,1,21,"6",,1,5,4
2019-12-01,714942,2019-12-02,2019-12-09,2,7546.68,2,7546.68,22,7,"2",,5,4,4
2019-12-01,903888,2019-12-09,2019-12-16,2,7613.16,2,7613.16,15,7,"2",,4,4,4
2019-12-01,712098,2019-12-16,2019-12-16,2,7738.74,2,7738.74,15,0,"2",,3,4,4
2019-12-01,4230834,2019-12-02,2019-12-30,6,7778.0999999999985,6,7778.0999999999985,1,28,"6",,1,5,4
2019-12-01,3297876,2019-12-09,2019-12-16,3,7907.400000000001,3,7907.400000000001,15,7,"3",,4,4,5
2019-12-01,723390,2019-12-02,2019-12-30,4,7926.84,4,7926.84,1,28,"4",,1,5,5
2019-12-01,955938,2019-12-02,2019-12-23,3,8211.119999999999,3,8211.119999999999,8,21,"3",,2,5,5
2019-12-01,4086984,2019-12-16,2019-12-23,2,8367.960000000001,2,8367.960000000001,8,7,"2",,2,3,5
2019-12-01,3231456,2019-12-02,2019-12-30,4,8554.32,4,8554.32,1,28,"4",,1,5,5
2019-12-01,2457258,2019-12-02,2019-12-23,4,8742.36,4,8742.36,8,21,"4",,2,5,5
2019-12-01,3764646,2019-12-02,2019-12-30,4,8863.56,4,8863.56,1,28,"4",,1,5,5
2019-12-01,2401416,2019-12-09,2019-12-23,2,9078.060000000001,2,9078.060000000001,8,14,"2",,3,3,5
2019-12-01,702630,2019-12-02,2019-12-23,4,9097.020000000002,4,9097.020000000002,8,21,"4",,2,5,5
2019-12-01,3288000,2019-12-09,2019-12-23,3,9209.82,3,9209.82,8,14,"3",,2,5,5
2019-12-01,712932,2019-12-02,2019-12-23,4,9525.66,4,9525.66,8,21,"4",,2,5,5
2019-12-01,3288210,2019-12-02,2019-12-30,13,10191.18,13,10191.18,1,28,"13",,1,5,5
